Apple iPhone 13, 999.99, 799.99, Electronics, Each
Samsung 55" 4K Smart TV, 699.99, 499.99, Electronics, Each
Sony PlayStation 5, 499.99, 399.99, Electronics, Each
Nike Air Max 90, 129.99, 79.99, Footwear, Pair
Levi's Men's Jeans, 59.95, 34.99, Clothing, Each
Cuisinart 12-Cup Coffee Maker, 89.99, 59.99, Appliances, Each
Dell Inspiron 15 Laptop, 799.99, 649.99, Electronics, Each
Canon EOS Rebel T7 Camera, 549.99, 449.99, Electronics, Each
LG 65" OLED 4K TV, 1499.99, 1199.99, Electronics, Each
Apple AirPods Pro, 249.99, 199.99, Electronics, Each
HP OfficeJet Pro Printer, 179.99, 129.99, Electronics, Each
Nike Dri-FIT Running Shorts, 29.99, 19.99, Clothing, Each
Bose QuietComfort 35 II, 299.99, 249.99, Electronics, Each
Keurig K-Elite Coffee Maker, 129.99, 89.99, Appliances, Each
Samsung Galaxy Tab S7, 499.99, 379.99, Electronics, Each
Fitbit Charge 5, 149.99, 99.99, Electronics, Each
Sony WH-1000XM4 Headphones, 349.99, 249.99, Electronics, Each
Calvin Klein Women's Dress, 79.95, 49.99, Clothing, Each
Instant Pot Duo 8-Qt, 99.99, 69.99, Appliances, Each
Apple Watch Series 7, 399.99, 299.99, Electronics, Each
LG 27" 4K Gaming Monitor, 349.99, 249.99, Electronics, Each
Adidas Ultraboost Running Shoes, 179.99, 129.99, Footwear, Pair
KitchenAid Stand Mixer, 349.99, 249.99, Appliances, Each
Samsung Galaxy S21, 799.99, 649.99, Electronics, Each
Sony 65" 4K OLED TV, 1999.99, 1599.99, Electronics, Each
Bose SoundLink Portable Speaker, 129.99, 89.99, Electronics, Each
Canon PIXMA Wireless Printer, 79.99, 59.99, Electronics, Each
Nike LeBron 18 Basketball Shoes, 199.99, 149.99, Footwear, Pair
Ralph Lauren Men's Polo Shirt, 49.95, 29.99, Clothing, Each
Nespresso Vertuo Coffee Maker, 179.99, 129.99, Appliances, Each
Microsoft Surface Pro 7, 899.99, 749.99, Electronics, Each
Fitbit Versa 3 Smartwatch, 179.99, 129.99, Electronics, Each
Dyson V11 Cordless Vacuum, 599.99, 449.99, Appliances, Each
Samsung Galaxy Watch 4, 249.99, 199.99, Electronics, Each
Columbia Women's Fleece Jacket, 69.95, 49.99, Clothing, Each
Crock-Pot Slow Cooker, 39.99, 29.99, Appliances, Each
Google Nest Hub Max, 229.99, 179.99, Electronics, Each
Sony 55" 4K LED TV, 799.99, 599.99, Electronics, Each
Adidas Superstar Sneakers, 79.99, 59.99, Footwear, Pair
LG 24" Full HD Monitor, 149.99, 99.99, Electronics, Each
T-fal Nonstick Cookware Set, 149.99, 99.99, Appliances, Set
Under Armour Men's Hoodie, 59.99, 39.99, Clothing, Each
Garmin Forerunner 945 Watch, 499.99, 349.99, Electronics, Each
Hamilton Beach Blender, 49.99, 29.99, Appliances, Each
Sony WH-CH510 Wireless Headphones, 39.99, 24.99, Electronics, Each
Nike Revolution 6 Running Shoes, 69.99, 49.99, Footwear, Pair
Roku Ultra Streaming Player, 99.99, 79.99, Electronics, Each
Samsung 24" Dishwasher, 499.99, 399.99, Appliances, Each
North Face Men's Jacket, 149.95, 99.99, Clothing, Each
Nikon D5600 DSLR Camera, 699.99, 549.99, Electronics, Each
Apple MacBook Air, 1099.99, 899.99, Electronics, Each
Casio G-Shock Watch, 99.99, 69.99, Accessories, Each
Brother Laser Printer, 149.99, 99.99, Electronics, Each
Fossil Men's Watch, 139.99, 89.99, Accessories, Each
Sony 75" 4K LED TV, 1799.99, 1399.99, Electronics, Each
Calvin Klein Women's Jeans, 59.95, 39.99, Clothing, Each
Breville Smart Oven, 249.99, 179.99, Appliances, Each
GoPro Hero 10 Black, 399.99, 299.99, Electronics, Each
Adidas Originals Backpack, 59.99, 39.99, Accessories, Each
Bose SoundSport Wireless Earbuds, 149.99, 109.99, Electronics, Each
KitchenAid Hand Mixer, 59.99, 39.99, Appliances, Each
Puma Men's Running Shoes, 89.99, 59.99, Footwear, Pair
Samsung 32" Smart Monitor, 299.99, 219.99, Electronics, Each
Philips Sonicare Electric Toothbrush, 79.99, 59.99, Health & Beauty, Each
Amazon Echo Dot (3rd Gen), 29.99, 19.99, Electronics, Each
Kate Spade Women's Handbag, 149.99, 99.99, Accessories, Each
Instant Pot Mini 3-Qt, 79.99, 54.99, Appliances, Each
Xbox Series X, 499.99, 399.99, Electronics, Each
Nike Air Jordan 1 Sneakers, 199.99, 149.99, Footwear, Pair
LG 55" 4K OLED TV, 1599.99, 1199.99, Electronics, Each
Roku Streaming Stick+, 49.99, 39.99, Electronics, Each
Columbia Men's Outdoor Jacket, 79.95, 59.99, Clothing, Each
Samsung 24" Computer Monitor, 199.99, 139.99, Electronics, Each
Crock-Pot Express Multi-Cooker, 79.99, 59.99, Appliances, Each
Dyson Supersonic Hair Dryer, 399.99, 299.99, Health & Beauty, Each
Sony PlayStation 4, 299.99, 229.99, Electronics, Each
Bose Solo 5 Soundbar, 249.99, 179.99, Electronics, Each
Reebok CrossFit Shoes, 99.99, 69.99, Footwear, Pair
Calvin Klein Men's Dress Shirt, 49.95, 34.99, Clothing, Each
Cuisinart Toaster Oven, 79.99, 54.99, Appliances, Each
Apple iPad Air, 499.99, 379.99, Electronics, Each
Sony XB950N1 Wireless Headphones, 199.99, 149.99, Electronics, Each
Fossil Women's Wallet, 49.99, 29.99, Accessories, Each
Samsung 43" 4K Smart TV, 499.99, 379.99, Electronics, Each
Ninja Professional Blender, 99.99, 69.99, Appliances, Each
Fitbit Inspire 2, 99.99, 69.99, Electronics, Each
New Balance Running Shoes, 79.99, 59.99, Footwear, Pair
LG Soundbar with Subwoofer, 349.99, 249.99, Electronics, Each
Kate Spade Women's Sunglasses, 99.99, 69.99, Accessories, Each
Crock-Pot 6-Qt Slow Cooker, 49.99, 34.99, Appliances, Each
Nintendo Switch, 299.99, 229.99, Electronics, Each
Under Armour Men's Shorts, 39.99, 24.99, Clothing, Each
Breville Espresso Machine, 299.99, 219.99, Appliances, Each
Garmin Venu 2 Smartwatch, 349.99, 249.99, Electronics, Each
Puma Women's Sneakers, 89.99, 59.99, Footwear, Pair
Sony 32" HD TV, 249.99, 179.99, Electronics, Each
Instant Pot Duo Mini 3-Qt, 69.99, 49.99, Appliances, Each
Nespresso Milk Frother, 79.99, 54.99, Appliances, Each
Beats Solo Pro Headphones, 299.99, 219.99, Electronics, Each
